amfi_code,scheme_name,fund_house,category,sub_category,risk_grade,launch_date
100027,Grindlays Super Saver Income Fund-GSSIF-Half Yearly Dividend,Nippon India Mutual Fund,Mid Cap,Equity,Very High,2018-06-08
100028,Grindlays Super Saver Income Fund-GSSIF-Quaterly Dividend,Axis Mutual Fund,Flexi Cap,Equity,Low,2018-08-09
100029,Grindlays Super Saver Income Fund-GSSIF-Growth,Nippon India Mutual Fund,Small Cap,Debt,High,2019-02-06
100030,Grindlays Super Saver Income Fund-GSSIF-Annual Dividend,HDFC Mutual Fund,Liquid,Equity,Very High,2019-04-08
100031,Grindlays Super Saver Income Fund-GSSIF - ST-Dividend,SBI Mutual Fund,Debt,Equity,High,2022-12-05
100032,Grindlays Super Saver Income Fund-GSSIF - ST-Growth,Kotak Mutual Fund,Liquid,Debt,High,2016-06-13
100033,Aditya Birla Sun Life Large & Mid Cap Fund - Regular Growth,ICICI Prudential Mutual Fund,Mid Cap,Equity,High,2019-11-15
100034,Aditya Birla Sun Life Large & Mid Cap Fund -Regular - IDCW,Axis Mutual Fund,Flexi Cap,Equity,Moderate,2021-08-03
100035,Birla Sun Life Freedom Fund-Plan A (Dividend),SBI Mutual Fund,Flexi Cap,Equity,Very High,2017-02-22
100036,Birla Sun Life Freedom Fund-Plan B (Growth),Kotak Mutual Fund,Debt,Equity,Very High,2020-08-26
100037,Aditya Birla Sun Life Income Fund - Regular - Quarterly IDCW,ICICI Prudential Mutual Fund,Debt,Equity,Moderate,2018-05-24
100038,Aditya Birla Sun Life Income Fund - Growth - Regular Plan,SBI Mutual Fund,Debt,Equity,Very High,2015-03-19
100041,Aditya Birla Sun Life Liquid Fund -Institutional - IDCW,SBI Mutual Fund,Liquid,Equity,Moderate,2019-05-09
100042,Aditya Birla Sun Life Liquid Fund-Retail (Growth),Kotak Mutual Fund,Mid Cap,Equity,Very High,2016-03-04
100043,Aditya Birla Sun Life Liquid Fund-Institutional (Growth),HDFC Mutual Fund,Flexi Cap,Equity,Very High,2020-09-09
100044,Aditya Birla Sun Life Liquid Fund -Retail - IDCW,HDFC Mutual Fund,Small Cap,Equity,Very High,2021-06-02
100046,Aditya Birla Sun Life Liquid Fund -Daily IDCW,Kotak Mutual Fund,Flexi Cap,Debt,Very High,2021-02-04
100047,Aditya Birla Sun Life Liquid Fund - Growth,SBI Mutual Fund,Flexi Cap,Debt,High,2019-05-28
100048,Aditya Birla Sun Life Liquid Fund -Institutional - weekly  IDCW,HDFC Mutual Fund,Small Cap,Equity,Very High,2022-08-19
100049,Aditya Birla Sun Life Cash Plus-Institutional - Fortnightly Dividend,Kotak Mutual Fund,Liquid,Debt,Very High,2022-04-29
100051,Aditya Birla Sun Life Liquid Fund -weekly IDCW,ICICI Prudential Mutual Fund,Flexi Cap,Equity,Low,2017-07-26
100052,Aditya Birla Sun Life Cash Plus-Institutional Premium - Fortnightly Dividend,ICICI Prudential Mutual Fund,Liquid,Equity,High,2018-09-16
100053,Aditya Birla Sun Life Cash Plus-Institutional Premium Plan-Monthly Dividend,SBI Mutual Fund,Liquid,Equity,Low,2016-12-26
100054,Aditya Birla Sun Life Gilt Plus - Liquid Plan - Quarterly Dividend - Regular Plan,SBI Mutual Fund,Small Cap,Equity,Low,2020-10-05
100055,Aditya Birla Sun Life Gilt Plus - Liquid Plan - Growth - Regular Plan,Nippon India Mutual Fund,Liquid,Equity,Very High,2022-07-17
100056,Aditya Birla Sun Life Gilt Plus - Liquid Plan - Annual Dividend - Regular Plan,HDFC Mutual Fund,Liquid,Equity,High,2019-09-02
100057,Aditya Birla Sun Life Govenment Securities Fund -Regular - Quarterly IDCW,HDFC Mutual Fund,Flexi Cap,Equity,High,2022-12-02
